keywords,counts
Neurospora crassa,212
Neurospora,64
Fungi,41
Filamentous fungi,35
Circadian clock,33
Cellulase,20
Cell fusion,19
Saccharomyces cerevisiae,16
Frq,13
Cellulose,13
Gene expression,12
Dna methylation,12
Heterochromatin,11
Mitochondria,11
Cell wall,11
Sexual development,10
Genomics,10
Meiosis,10
Metabolic engineering,10
Trichoderma reesei,10
Genetics,9
Lignocellulose,9
Transcription factor,9
Lytic polysaccharide monooxygenase,9
Circadian rhythm,9
Circadian rhythms,9
Circadian,9
Gene regulation,9
Frequency,8
Transcription factors,8
Aspergillus nidulans,8
Optogenetics,8
Beta-glucosidase,8
N. crassa,8
Transcriptomics,8
Yeast,8
Conidiation,8
Rna-seq,8
Allorecognition,8
Ergothioneine,7
Rna interference (rnai),7
Heterologous expression,7
Proteomics,7
Cell death,7
Map kinase,7
Epigenetics,7
Cellodextrin transporter,7
Biofuel,7
Phosphorylation,7
Aa9,6
Signal transduction,6
Meiotic silencing by unpaired dna (msud),6
Stress response,6
Pichia pastoris,6
Virulence,6
Functional genomics,6
Alternative oxidase,6
Heterokaryon incompatibility,6
Lpmo,6
Rip,6
Spitzenkorper,6
Ergosterol,6
Translation,6
Photoreceptor,5
Evolution,5
Aspergillus fumigatus,5
Fungal cell wall,5
Reactive oxygen species,5
Asexual development,5
Antifungal activity,5
Oxidative stress,5
Cellobiose dehydrogenase,5
Vivid,5
Cell biology,5
Multicellularity,5
Plasma membrane,5
Small rna,5
Transcriptome,5
Secondary metabolism,5
Ascomycete,5
Fungal growth,5
Photobiology,5
Gene silencing,5
Biofuels,5
Synthetic biology,5
Transcription,5
Chromatin,5
Chemotropism,5
Chitin,5
Facultative heterochromatin,5
Xylitol,5
Vdac,5
Hydrogen peroxide,5
Escherichia coli,5
Transcriptional profiling,5
Antibacterial activity,4
Rna interference,4
Protein-protein interaction,4
Bioenergy,4
Prc2,4
Anastomosis,4
Cellobiose,4
Chromosomes,4
Polysaccharide monooxygenase,4
Mitochondrial porin,4
Actin,4
Azoles,4
Biosynthesis,4
Chitin synthase,4
Catalase-3,4
Germination,4
Aspergillus,4
Cellulases,4
Calcium,4
Repeat-induced point mutation,4
Hemicellulose,4
Molybdenum cofactor,4
Rna silencing,4
Wc-1,4
Genome defense,4
Msud,4
Transcriptional regulation,4
Light,4
Fusarium,4
Protein engineering,4
Systems biology,4
Natural variation,4
Botrytis cinerea,4
H3k27 methylation,4
Introgression,4
Aging,4
Beta-1,4
Entrainment,4
Homologous recombination,4
Map kinase signaling,4
Microtubules,4
White collar,4
Nitrate reductase,4
Secondary metabolites,4
Biorefinery,4
Ros,4
Bioremediation,3
Autophagy,3
Velvet complex,3
Alternative splicing,3
Dna methyltransferase,3
Eif2alpha,3
Frq-less oscillator,3
Oscillator,3
Post-translational modification,3
Epichloe festucae,3
Cellulosic ethanol,3
Xylanase,3
Cell wall remodeling,3
Galactomannan,3
Lytic polysaccharide monooxygenases,3
Fungal genetics,3
Balancing selection,3
Xylose,3
Cell-to-cell communication,3
Appressorium,3
Hp1,3
Lytic polysaccharide monooxygenase (lpmo),3
Carotenoid,3
Pathogen,3
Cell-cell fusion,3
White collar-1,3
Protein phosphorylation,3
Gal4,3
Copper monooxygenase,3
Fungal development,3
Clock-controlled genes,3
Molecular chaperone,3
Arabidopsis thaliana,3
Fungal,3
Ascomycetes,3
Ribosome,3
X-ray crystallography,3
Cryo-electron microscopy,3
Podospora anserina,3
Xylose reductase,3
Symbiosis,3
Signaling,3
Photoreceptors,3
Hypocrea jecorina,3
Penicillium chrysogenum,3
Fungal virulence,3
Plant cell wall,3
Biomineralization,3
Carboxylate reductase,3
Q-system,3
Molybdenum,3
Calmodulin,3
H3k27me3,3
Blue light,3
Enzyme kinetics,3
Tom complex,3
Codon usage,3
Lov domain,3
Endocytosis,3
Mapk,3
Copper,3
Development,3
Fusarium graminearum,3
Protein folding,3
Protein translocation,3
Histone deacetylation,3
Antifungal drug,3
Population genomics,3
Regulatory networks,3
Metabolism,3
Mass spectrometry,3
Carotenoids,3
Light response,3
Xyloglucan,3
Nmr,3
Morphology,3
Antifungal,3
Casein kinase 1,3
Mating,3
Azole,3
Polarized growth,3
Glycosyltransferase,3
White collar complex,3
Programmed cell death,3
Chromatin remodeling,3
Dap-seq,3
Nutrient sensing,3
Live-cell imaging,3
Cell cycle,3
Biotechnology,3
Signaling pathways,3
Ms,2
Dynamics,2
Cmwc-1,2
Endoplasmic reticulum,2
Experimental evolution,2
Photoinduction,2
Speciation,2
Glucan,2
Cell wall protein,2
Stress,2
Photoadaptation,2
Membrane protein,2
Transporter,2
Protein synthesis,2
Microfluidic device,2
Translation control,2
Tom40,2
Cell wall integrity,2
Convolutional neural network,2
Electrophysiology,2
Yarrowia lipolytica,2
Phospholipase c,2
Lignocellulolytic enzyme,2
Septum,2
Fungus,2
Aspergillus oryzae,2
Csp-1,2
Luminescence,2
Wcc,2
Glycogen,2
Quas,2
Qf,2
Chimeric transactivators,2
Cryphonectria parasitica,2
Binary expression system,2
Dna replication,2
Green fluorescent protein,2
Heterologous gene expression,2
Cellulose degradation,2
Phytochrome,2
Drug resistance,2
Cordyceps militaris,2
Protein secretion,2
Mitochondrial transport,2
Rnai,2
Crystal structure,2
C-terminal domain,2
Eisosome,2
Crispr/cas9,2
Transcriptional regulatory network,2
Ck1,2
Fusarium verticillioides,2
Antioxidant,2
Cp: molecular biology,2
Ergosterol biosynthesis,2
Cross-pathway control,2
Mak-2,2
Porine mitochondriale,2
H3k9 methylation,2
Large-size subunit catalase,2
Cryo-em,2
Caspofungin,2
Zinc,2
Glucose transporter,2
Er stress,2
Polysaccharide monooxygenases,2
Atomic force microscopy,2
Oxydase alternative,2
Hemicellulosic hydrolysate,2
Biodegradation,2
Asexual-sexual switch,2
X-ray structure,2
Chromosome translocation,2
Ddx5,2
Chitinase,2
Intracellular beta-glucosidase,2
Membrane trafficking,2
Cytochrome c oxidase,2
Sphingolipid domains,2
Glucose compensation,2
Molecular genetics,2
Dna repair,2
Botrytis,2
Clsm,2
Oxygen activation,2
Splicing,2
Nitric oxide,2
Enzyme production,2
Cyclic amp,2
Metalloenzymes,2
Photoreactivation,2
Peroxisome,2
Copper carbonate,2
Biocatalysis,2
Polar growth,2
Endophyte,2
Lignocellulose degradation,2
Protein evolution,2
H2a.z,2
Pectin methylesterase,2
Metabolomics,2
Basidiomycetes,2
Fruiting body formation,2
Frequency (frq),2
Microfluidics,2
Zymoseptoria tritici,2
Cap-binding proteins (cbps),2
Magnaporthe oryzae,2
Oscillations,2
Translation elongation,2
Pyronema confluens,2
Hyphae,2
Rna folding,2
Rna helicase,2
Antifungal agents,2
Ribozyme,2
Mathematical modeling,2
Cell communication,2
Substrate specificity,2
Mitochondrial dna,2
Chitosan,2
Ecology,2
Dna polymorphism,2
E. coli,2
Plant pathogen,2
Gel domains,2
Polygalacturonase,2
Liposomes,2
Gh,2
Sporulation,2
Substrate binding,2
Directed evolution,2
Sterol biosynthesis,2
Cpc-3,2
Transcriptional networks,2
Enzyme engineering,2
Hydrophobins,2
Intrinsically disordered proteins,2
Phylogenetic analysis,2
Aldehyde,2
Repetitive dna,2
Fluorescence spectroscopy,2
Conidia,2
Chromosome pairing,2
Gene,2
Ethanol,2
Cbm33,2
Gh61,2
Staurosporine,2
Methylation,2
Carbohydrate-binding protein,2
True protein,2
Solid-state fermentation,2
Output,2
Polysaccharide,2
Protein stability,2
Biomass,2
Chip-qpcr,2
Plant cell wall degradation,2
Period,2
Mathematical model,2
Glucoraphanin,2
Heterotrimeric g proteins,2
Phosphoproteome,2
Nanoparticles,2
Homology search,2
Pairing,2
Neutron protein crystallography,2
Histones,2
Molybdenum homeostasis,2
Molybdenum metabolism,2
Aspergillus flavus,2
Temperature compensation,2
Electron paramagnetic resonance (epr),2
Gfp,2
Bcaa,2
Polycomb repressive complex,2
Kinase,2
Mitoribosome,2
Chip-seq,2
Per,2
Chaperone,2
Protein structure,2
Multidrug resistance,2
Genome-wide association study,2
Gene transcription,2
Rna stability,2
Stripak,2
Inducible promoter,2
Proteome,2
Fungal pathogen,2
Ecotypes,2
Cryptochrome,2
Polarity,2
H3k36me3,2
Biological clock,2
Fusarium oxysporum,2
Agmatine,2
Microtubule,2
Consolidated bioprocessing,2
Itaconic acid,2
Plant biomass,2
Adaptation,2
Small rnas,2
Lignocellulase secretion,2
Homology recognition,2
Dna,2
Nucleosome positioning,2
Agmatinase,2
Interface,2
Sexual reproduction,2
Molybdenum cofactor biosynthesis,2
Circadian clocks,2
Cellobiohydrolase,2
Chemotropic interactions,2
Luciferase,2
Biomass degradation,2
Light induction,2
Fks-1,2
Molecular dynamics,2
Exocytosis,2
Argonaute,2
G proteins,2
Elevated temperature,2
Melanin,2
Cellulase production,2
Polyamines,2
H3k9me3,2
Hyphal fusion,2
Adaptive evolution,2
Rna modification,2
Rna editing,2
Translation initiation,2
Czt-1,2
Phylogenetics,2
Cell wall proteins,2
Toxicity,2
Secretion,2
Filamentous fungus,2
Reaction norm,2
Polycomb repressive complex 2,2
Defensin,2
Regulation,2
Homology modeling,2
Vegetative development,2
Plasmodium falciparum,2
Recombinant expression,2
Trans-species polymorphism,2
Phenomics,2
Glycosylation,2
Cell signaling,2
Monooxygenase,2
Dicer,2
Gene cluster,2
Vesicles,2
Carbon catabolite repression,2
Somatic cell fusion,2
Lag-1,2
Trichoderma,2
Calcium signaling,2
Chronobiology,2
Meiotic silencing,2
Abc transporters,2
Cell fusion checkpoint,2
Cat fusion,2
Light regulation,2
Furan,1
Mitochondrial mrna turnover,1
Rhizoctonia,1
Waste newspaper hydrolysate,1
Juxtiphoma,1
Wheat bran,1
Lrpprc/slirp,1
Kernel density estimation,1
Oscillator mechanism,1
Starch hydrolysates,1
Cold adaptation,1
Camp-dependent protein kinase,1
Furfural,1
Mak-1,1
Heat and oxidative stresses,1
Protoperithecium,1
Hypha,1
Srl,1
Vapc20,1
Branching,1
Pretreatment,1
Rna binding protein,1
Box-behnken design,1
Cold shock,1
Mutant screen report,1
Zn2cys6 transcription factor,1
Aminoacyl trna synthetase,1
Gh17,1
Complex trait,1
Sexual identity,1
Pksiiinc,1
Type iii polyketide synthase,1
Transient receptor potential channel,1
Mating type,1
3-glucan,1
Chitin transferase,1
Dimers,1
Gh16,1
Decyl-maltoside,1
Allogenic gene complement,1
Expression evolution,1
Phylogenetic tree,1
Glucan transferase,1
Active site segments,1
Arthroconidia,1
Aa9 lpmo,1
Flavours and fragrances,1
Antimicrobial compounds,1
Pr61,1
Carboxylic acids,1
Tissue type,1
Conidiophore development,1
Alkyl-resorcinol,1
Acyl-phloroglucinol,1
Split-qf,1
Mosquito,1
Hack,1
Drosophila,1
Period-2,1
Bioengineering,1
Ros signaling,1
Inositol-1,1
Intercellular cooperation,1
4,1
Ca2+-binding motif,1
5-trisphosphate,1
Negative arm proteins,1
Cre1,1
Interactome,1
Bd,1
Intrinsic disorder,1
Spore shadow,1
Drosophila melanogaster,1
Cp: genomics,1
Generalized linear model,1
Sclerotinia,1
Protein tails,1
Aldehyde dehydrogenases,1
Pqq-dependent pdh,1
Neurosporaxanthin,1
Trametes multicolor,1
Neutral carotenoids,1
Rat,1
Protein rich,1
Rutc30,1
Rna regulation,1
Sclerotium rolfsii,1
Hydrogen/deuterium exchange mass spectrometry,1
Rp-hplc-dad,1
Xanthophyll,1
Hemicellulases,1
Proton pump,1
Oxidative amino acid modification,1
Schizosaccharomyces pombe,1
P-type atpase,1
Peptide bond cleavage,1
Nicotiana tabacum,1
Eed,1
Adaptor protein 3 complex,1
F-type atpase,1
Aa12,1
Carbohydrate-binding module,1
Pi regulation,1
Electron transfer,1
Fungal genomics,1
Homothallism,1
"""3utr elements""",1
Fast-forward genetics,1
Biological rhythms,1
Pyroglutamate,1
Glutaminyl cyclase,1
N-terminal glutamine cyclization,1
Ceramide c9-methyltransferase,1
Dead-box rna helicase,1
Cel7a,1
Rip timing,1
Population divergence,1
Functional adaptation,1
Dsc e3 ligase,1
Srebp,1
Uorfs,1
Puf proteins,1
Near-cognate codons,1
Acidic apocarotenoid,1
Fusarium fujikuroi,1
Rca-1,1
Crop residues,1
Cpn o/e ratio,1
In silico biology,1
Dna homology recognition,1
C-dna,1
Nosa,1
Mitochondrial regulation,1
Pr55,1
Ham-9,1
Sordaria macrospora,1
Suppression subtractive hybridization,1
Ham-6,1
Aflatoxin,1
Adv-1,1
Nor-1,1
Ras-1,1
Statistical thermodynamics,1
Maximum entropy production,1
Mass action kinetics,1
Phytopathogenic fungi,1
Bacterial volatile metabolites,1
Cpg o/e ratio,1
Ammonia,1
Serratia,1
Biomass regulon,1
Plant biology,1
Copper nanoparticles,1
Microtubule array,1
Kinetochore,1
Centromere,1
Amphotericin b,1
Asparagine synthetase,1
Kmn,1
Intron retention,1
C-terminal domain (carboxyl tail domain,1
Ketoconazole,1
Aldonic acid,1
Dam1,1
Ctd),1
C-terminal tails,1
Ccan,1
Membrane compartments mcc and mcp,1
Inositolphosphorylceramides,1
Cellobionic acid,1
Glucosylceramides,1
Phosphorylase,1
Intrinsically disordered protein,1
Fruiting body development,1
Molecular motors,1
Non-proteinogenic amino acids,1
Cot1,1
Peptidome,1
Plant cell wall degradation network,1
Rco-1/tup1,1
Glutathione,1
Conidial development,1
Cellulose crystallinity,1
Single-particle cryo-em,1
Microcrystalline cellulose,1
Biophysical properties,1
Structure determination,1
Sterol c-5 desaturase,1
Horizontal gene transfer,1
Basidiomycota,1
Ascomycota,1
Powdered cellulose,1
Lsp-1,1
Mitochondrial ribosomes,1
Rut-c30,1
Mitochondria drug efflux,1
Mfs transporters,1
Crz-1 transcription factor,1
Clr-2,1
Mannan,1
Cdk/cyclin complex,1
Network reconstruction,1
Respiratory complex iv,1
Hsaf,1
Clock gene frq,1
Chemical biology,1
Reverse ecology,1
Inflammation,1
Biogeography,1
Zearalenone degradation,1
Maize,1
Lipid peroxidation,1
High-density fermentation,1
Positron emission tomography,1
Animal feed,1
Siderophore,1
Intron phase,1
Phytopathogen,1
Inorganic orthophosphate,1
Intron loss/gain,1
Gene structure,1
Small molecule,1
Neuorospora,1
Genome editing,1
Mycorrhizal association,1
3d reconstruction and image processing,1
Transcriptional repression,1
Automation,1
Chromatin remodeler,1
Pil1,1
Self-nonself recognition,1
Iswi,1
Trypanosoma cruzi,1
Adar,1
Substrate recognition,1
Trypanosoma rangeli,1
Small interfering rna (sirna),1
Resistance to antifungal agents,1
Spliceosome,1
Prp5,1
Yvh1,1
Hsp90s,1
Glucose repression,1
Amylase,1
Ligand docking simulation,1
Nucleosome,1
Antimicrobial proteins,1
Dim-1,1
Catp,1
Sphingolipids,1
Glucose transport,1
Pectin degradation,1
Lipidomics,1
L-rhamnose catabolism,1
D-galacturonic acid catabolism,1
Adat,1
P(i) transporter,1
Adenosine,1
Echinocandins,1
Vivid photoreceptor,1
Mycelia development,1
Intrinsic fluorescence,1
Transcriptional regulatory networks,1
Flavo proteins,1
Ribosome profiling,1
Cytoplasmic messenger ribonucleoprotein granules,1
Ceramide,1
Lac-1,1
Flammulina velutipes,1
Wd40 protein,1
Cellular localization,1
P-body,1
Mushroom breeding,1
Eisosomal proteins,1
Ress,1
Gcn2,1
Non-synonymous editing,1
Inosine,1
Epigenetic,1
Upr,1
Deamination,1
Selective sweep,1
Atherosclerosis,1
Fungal spore,1
Frap,1
Xanthones,1
Tirfm,1
Spk,1
Pm,1
Apical growth,1
Dna polymerase,1
Network of elongated cisternae,1
Nec,1
Mt,1
Myosin-like motor domain,1
Mmd,1
Amino acid biosynthesis,1
3-glucan synthase complex,1
Gsc,1
Glycosylphosphatidylinositol,1
Gpi,1
Glycosyl hydrolases,1
Cytosol,1
Pcna,1
Guanine nucleotide exchange factor,1
Gef,1
Shikimate,1
Pip box motif,1
Total internal reflection fluorescence microscopy,1
Tm,1
Transmembrane,1
Alternative nad(p)h dehydrogenase,1
Intergenerational effect,1
Transgenerational effect,1
Imitation switch (iswi),1
Aldehydes,1
Pp2a,1
Nde-1,1
Mitochondrion,1
Complex i,1
Polycomb repressive complex 2 (prc2),1
Ca(2+) dynamics,1
Pecoramyces ruminantium,1
Tip growth,1
Dna damage,1
D-lactate dehydrogenase,1
Ndr kinase,1
Anaerobic gut fungi,1
Glucosylceramide,1
Trimethyllysine,1
Acetophenone,1
Carnitine,1
Biosynthetic cascade,1
Biosensor,1
Fluorescence recovery after photobleaching,1
Er,1
Apolipoprotein e knockout mouse,1
Unfolded protein response,1
Reactive species,1
Plasma toxicity,1
Diabetes mellitus,1
Ionic strength,1
Listerin,1
Free radicals,1
Ltn1,1
Glucose metabolism,1
Antisense rna,1
Glucose tolerance factor,1
Rqc,1
Insulin,1
Structure,1
Phosphoinositolglycans,1
Molecular switch,1
Regulator of g protein signaling,1
Heterotrimeric g protein signaling,1
Biological sciences,1
Genetic epistasis,1
Cellulase activity,1
Mannanase,1
Glucanosyltransferase,1
Rna-sequencing,1
Chaetomium thermophilum,1
Isothermal titration calorimetry,1
Light/dark cycle,1
Glucose oxidase,1
Cwp,1
Cwi,1
X-ray crystal structure,1
Confocal laser scanning microscopy,1
Chs,1
Ada-6,1
Oxidative stress response,1
3-glucan transferases,1
Bgt,1
Civm-nmr,1
Ribosome association,1
Real-time metabolomics,1
Hr-mas,1
Dynein light chain protein 1,1
Nate,1
Naa50,1
Flux,1
Nat,1
N-terminal acetyltransferase,1
Gnat domain,1
Myeloid leukemia cells,1
Complementation,1
Scumbo,1
Food safety,1
Plant pathogenic fungi,1
Alternaria alternata,1
Whole-cell catalysis,1
1h nmr and 13c nmr,1
Fusarium nectrioides,1
Lc-ms-ms,1
Liquid cheese whey,1
Thin layer chromatography,1
Bioinformatics analysis,1
Coregulation,1
Infection structure differentiation,1
Ec 1.11.2.1,1
Cell-free protein synthesis,1
In vitro translation,1
Unspecific peroxygenase,1
Asexual reproduction,1
Transcriptome analysis,1
One-pot,1
Cinnamylamine,1
Virulence factor,1
Phylogenetic,1
Molecular dynamic simulation,1
Malassezia globosa,1
Gpi-anchored protein,1
Omega-aminotransferase,1
Cinnamylamine biosynthesis,1
Cinnamic acid,1
Quelling,1
Mycoviruses,1
Antiviral rna silencing,1
Repressor protein,1
Pectin,1
Galacturonic acid,1
Melanization,1
Vegetative growth,1
Microbial synthesis,1
Soybean soluble polysaccharides,1
Downstream cascade,1
Cell wall components sensing,1
Amino acid sensors,1
White-collar proteins,1
Mycotoxin,1
Surface sensing,1
Genomic clusters,1
Emsa,1
Carbon source utilization,1
Cazymes,1
Light sensing,1
Frq gene evolution,1
Arbuscular mycorrhizal fungi (amf),1
Structural characteristics,1
Functional properties,1
Pathway engineering,1
Ribosomal rna (rrna),1
Nutrition starvation,1
Non-essential eif3 complex,1
Magnaporthe oryzae oryzae,1
Microrna,1
Sterol regulatory element binding protein,1
Hypoxia,1
Fungal pathogenesis,1
Whey,1
Lactose,1
Lactic acid,1
Protein database,1
Phosphosites,1
Motif,1
Pectinase,1
Cellulase gene expression,1
Pas and lov domains,1
Candida albicans,1
Protocatechuic acid,1
Myceliophthora thermophila,1
Pentose catabolism,1
Xylan degradation,1
Xylanolytic regulator,1
Adhesion,1
Mitogen-activated protein kinase kinase kinase,1
Endoglucanase,1
Sectorization,1
Whole genome bisulfite sequencing,1
7beta-hydroxylation,1
Bile acid,1
Bioconversion,1
Deoxycholic acid,1
Microbial production,1
Dehydroshikimate dehydratase,1
4-dhba,1
3,1
Unfolding enzymes,1
Symmetric dimers,1
Molecular chaperones,1
Chaperone function of hydrophobic and charged amino acid residues,1
Transposon control,1
Tcu-1 promoter,1
Sterol intermediate,1
Sterol 14alpha-demethylase,1
Efflux pump,1
C-8 sterol isomerase,1
Septal pore,1
Hyphal integrity,1
White collar protein,1
Ursocholic acid,1
Apses proteins,1
Functions,1
Cytochrome b,1
Cellulolytic biocatalyst,1
Antibiotic release,1
Bn-ag nanohybrids,1
Bn nanoparticles,1
Ag ion release,1
Low molecular compounds,1
Perithecium,1
Multicellular fruiting bodies,1
Developmental mutants,1
Necrosis,1
Apoptosis,1
U. maydis,1
Glucose dehydrogenase,1
Direct electron transfer,1
Chimeric enzyme,1
Structural domains,1
3g glucose biosensor,1
Heat stability,1
Evolution of catalases,1
Catalytic activation,1
Amino acid frequency,1
Hsp31,1
Prokaryotes,1
Fusion gene,1
Yeast actins,1
Vegetative actins,1
Root hair growth,1
Root development,1
Ectopic expression,1
Actin mutants,1
Functional analysis,1
G protein coupled receptors (gpcrs),1
G proteins activation,1
Propionate 3-nitronate,1
3-nitropropionate,1
Enzyme catalysis,1
Enzyme structure,1
Flavoprotein,1
Nitronate monooxygenase,1
Oxidoreductase,1
Pseudomonas aeruginosa (p. aeruginosa),1
Gpcrs classification,1
Tim barrel,1
Toxin,1
Rim15,1
Starvation response,1
Sterigmatocystin,1
Stress regulation,1
Trap formation,1
Environmental stress tolerance,1
Ca2+/calmodulin-dependent protein kinases (camks),1
Arthrobotrys oligospora,1
Viral clearance,1
Hypovirulence,1
Fungal growth and development,1
Population structure,1
Mating systems,1
Divergence time,1
Single-molecule studies,1
Photo-control,1
Dna structures,1
Primary cell culture,1
Live imaging,1
Limb mesenchyme,1
Sox9,1
Sfwc-1 photoreceptor,1
Sordaria fimicola,1
Blue-light photoreceptor,1
Phosphite oxidoreductase (ptxd),1
Phytochemistry,1
Canthin-6-one,1
Antimicrobial,1
Nanostructured bn-based films,1
Drug release,1
Antibiotic-loaded surfaces,1
Vib1,1
Translocation,1
Promoter,1
Genome analysis,1
Light-regulated processes,1
Btwc-1,1
Blakeslea trispora,1
Ccg6 promoter,1
Phosphite,1
Perithecial beak,1
Growth marker,1
Contamination control,1
Saffron stigma,1
Crocin,1
Crocetin,1
Thielavia terrestris,1
Thermostable,1
Feruloyl esterase,1
Photoreaction,1
Light wavelength,1
Light intensity,1
Conidium,1
Internal control genes,1
Rt-qpcr,1
Tku70,1
Dmm2,1
Hem8,1
Abc-3,1
Pksiii,1
Trpp,1
Trpml,1
Polycystin 2 like calcium channels,1
Pkd2 like calcium channels,1
Osmotic shock,1
Mucolipin like calcium channels,1
Budding yeast,1
Pathogen-associated molecular pattern (pamp),1
Elicitor,1
Solanaceae,1
Rhynchosporium commune,1
Antimicrobial drug resistance,1
Acriflavine,1
Oxygen,1
Marine yeast,1
Nuclear magnetic resonance (nmr),1
Neosartorya (aspergillus) fischeri antifungal protein (nfap),1
Antifungal mechanism,1
Drosomycin,1
Defensins,1
Cysteine-rich antifungal proteins,1
Antimycotic,1
Antimicrobial peptides,1
Antifungal drugs,1
Tityus serrulatus,1
Sugar sensors,1
Signal receptors,1
Protein internalization,1
Nutritional signals,1
Cytotoxic activity,1
Pentaketide resorcinols,1
Ferrochelatase,1
Cdna library,1
Dna methylation modulator-2,1
Water molecules,1
Tnrc6,1
Piwi,1
Mrna secondary structures,1
Translation initiation rate,1
Silicon chip,1
Serial femtosecond crystallography,1
Intracellular protein crystals,1
In cellulo crystallography,1
Fixed-target sfx,1
Roadrunner,1
Organismal interactions,1
Trichoderma atroviride,1
Relative synonymous codon usage,1
Triketide pyrones,1
Relative frequency of synonymous codons,1
Genome sequencing,1
Spermidine,1
Lysine,1
Chimeric gene,1
Yeasts,1
Flocculation,1
Engineered kluyveromyces marxianus,1
Nadph-preferring xylose reductase,1
Nadp(+)-preferring xylitol dehydrogenase,1
Kluyveromyces marxianus,1
Co-assimilation,1
Fusarium pseudograminearum,1
Fpada1,1
Photoregulation,1
Somatic incompatibility,1
Cell proliferation assessment,1
Paramutation,1
Metabolites compositions,1
Rhodotorula mucilaginosa,1
Biotemplate,1
Cobalt,1
Lithium,1
Nitrate,1
Plants,1
Mirna,1
Database,1
Genome,1
Histone h2a.z,1
Nucleosome composition,1
Mtf1,1
Rpo41,1
Light irradiation,1
Growth characteristics,1
Thermodynamic cost,1
Self-splicing activity,1
Kinetic partitioning mechanism,1
Iterative annealing mechanism,1
Atp consumption,1
Sti1,1
P23,1
Co-chaperone,1
Aha1,1
Hsp90,1
Visualizations,1
Protein-protein interaction networks,1
Gene enrichment,1
Milrna,1
Random forest,1
Entomopathogenic fungi,1
Mitochondrial (mt) transcription,1
Mt rna polymerase,1
The ripper,1
Off-plane phenotypes,1
Non-additive plasticity,1
Multi-moment reaction norms,1
Genetics of trait distributions,1
Orthologs,1
Heat shock protein,1
Gene duplication,1
Ultraviolet-c,1
Postharvest decay,1
Bud emergence 46,1
Whi-2,1
Csp-6,1
Amph-1,1
Web-based tool,1
Repeat-induced point mutations,1
Mt promoters,1
Rip profile,1
Large rip affected regions,1
Genome-wide quantification,1
Fine-scale rip analyses,1
Plant-pathogen interaction,1
Environmental response,1
Light-dependent dimerizers,1
Human,1
Contact sites,1
Vap,1
Physical properties,1
Lignin,1
Efb,1
Mt transcription factor,1
Prediction,1
Knowledge-based energy feature,1
Self/non-self recognition,1
In vitro atp generation,1
Aedes albopictus,1
Dengue virus,1
Metagenome,1
Microbiome,1
Susceptibility,1
Enzyme cascade,1
Multi-enzyme catalysis,1
Tolerant yeast,1
Mobc,1
Corn cob hemicellulosic hydrolysate,1
Maize ear rot,1
Microconidia,1
Stalk rot,1
Low ph conditions,1
Nutrient stress,1
Xprg,1
Ndt80,1
Ime2,1
Growth,1
Pseudohomothallism,1
