PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35205873","Engineered Fungus Thermothelomyces thermophilus Producing Plant Storage Proteins","Balabanova L, Seitkalieva A, Yugay Y, Rusapetova T, Slepchenko L, Podvolotskaya A, Yatsunskaya M, Vasyutkina E, Son O, Tekutyeva L, Shkryl Y.","J Fungi (Basel). 2022 Jan 26;8(2):119. doi: 10.3390/jof8020119.","Balabanova L","J Fungi (Basel)","2022","2022/02/25","PMC8877005","","10.3390/jof8020119"
"31309856","Isolation and characterization of a new cytotoxic polyketide-amino acid hybrid from Thermothelomyces thermophilus ATCC 42464","Gao YL, Zhang ML, Wang X, Zhang HD, Huang JZ, Li L.","Nat Prod Res. 2021 Jun;35(11):1792-1798. doi: 10.1080/14786419.2019.1641810. Epub 2019 Jul 16.","Gao YL","Nat Prod Res","2021","2019/07/17","","","10.1080/14786419.2019.1641810"
"36506193","Identification of Thermostable Xylose Reductase from Thermothelomyces thermophilus: A Biochemical Characterization Approach to Meet Biofuel Challenges","Ali N, Aiman A, Shamsi A, Hassan I, Shahid M, Gaur NA, Islam A.","ACS Omega. 2022 Nov 17;7(48):44241-44250. doi: 10.1021/acsomega.2c05690. eCollection 2022 Dec 6.","Ali N","ACS Omega","2022","2022/12/12","PMC9730754","","10.1021/acsomega.2c05690"
"33461124","Fed-batch production of Thermothelomyces thermophilus lignin peroxidase using a recombinant Aspergillus nidulans strain in stirred-tank bioreactor","Liu E, Segato F, Wilkins MR.","Bioresour Technol. 2021 Apr;325:124700. doi: 10.1016/j.biortech.2021.124700. Epub 2021 Jan 12.","Liu E","Bioresour Technol","2021","2021/01/18","","","10.1016/j.biortech.2021.124700"
"32653619","Enzymatic versatility and thermostability of a new aryl-alcohol oxidase from Thermothelomyces thermophilus M77","Kadowaki MAS, Higasi PMR, de Godoy MO, de Araújo EA, Godoy AS, Prade RA, Polikarpov I.","Biochim Biophys Acta Gen Subj. 2020 Oct;1864(10):129681. doi: 10.1016/j.bbagen.2020.129681. Epub 2020 Jul 10.","Kadowaki MAS","Biochim Biophys Acta Gen Subj","2020","2020/07/13","","","10.1016/j.bbagen.2020.129681"
"33301505","Safety evaluation of a β-mannanase enzyme preparation produced with Thermothelomyces thermophilus expressing a protein-engineered β-mannanase gene","Kern A, Shanahan D, Buesen R, Geiger D.","PLoS One. 2020 Dec 10;15(12):e0243647. doi: 10.1371/journal.pone.0243647. eCollection 2020.","Kern A","PLoS One","2020","2020/12/10","PMC7728267","","10.1371/journal.pone.0243647"
"33712158","Light-stimulated T. thermophilus two-domain LPMO9H: Low-resolution SAXS model and synergy with cellulases","Higasi PMR, Velasco JA, Pellegrini VOA, de Araújo EA, França BA, Keller MB, Labate CA, Blossom BM, Segato F, Polikarpov I.","Carbohydr Polym. 2021 May 15;260:117814. doi: 10.1016/j.carbpol.2021.117814. Epub 2021 Feb 15.","Higasi PMR","Carbohydr Polym","2021","2021/03/13","","","10.1016/j.carbpol.2021.117814"
"34153346","Survival of thermophilic fungi in various preservation methods: A comparative study","Berikten D.","Cryobiology. 2021 Aug;101:38-43. doi: 10.1016/j.cryobiol.2021.06.005. Epub 2021 Jun 18.","Berikten D","Cryobiology","2021","2021/06/21","","","10.1016/j.cryobiol.2021.06.005"
"34560965","Unique features of the bifunctional GH30 from Thermothelomyces thermophila revealed by structural and mutational studies","Nikolaivits E, Pentari C, Kosinas C, Feiler CG, Spiliopoulou M, Weiss MS, Dimarogona M, Topakas E.","Carbohydr Polym. 2021 Dec 1;273:118553. doi: 10.1016/j.carbpol.2021.118553. Epub 2021 Aug 12.","Nikolaivits E","Carbohydr Polym","2021","2021/09/25","","","10.1016/j.carbpol.2021.118553"
"32380451","FTacV study of electroactive immobilized enzyme/free substrate reactions: Enzymatic catalysis of epinephrine by a multicopper oxidase from Thermothelomyces thermophila","Zouraris D, Kiafi S, Zerva A, Topakas E, Karantonis A.","Bioelectrochemistry. 2020 Aug;134:107538. doi: 10.1016/j.bioelechem.2020.107538. Epub 2020 Apr 28.","Zouraris D","Bioelectrochemistry","2020","2020/05/08","","","10.1016/j.bioelechem.2020.107538"
"36866191","Safety and efficacy of a feed additive consisting of endo-1,4-β-d-mannanase produced by Thermothelomyces thermophilusDSM 33149 (Natupulse® TS/TS L) for chickens and turkeys for fattening, minor poultry species for fattening and ornamental birds (BASF SE)","EFSA Panel on Additives and Products or Substances used in Animal Feed (FEEDAP); Bampidis V, Azimonti G, Bastos ML, Christensen H, Durjava M, Dusemund B, Kouba M, López-Alonso M, López Puente S, Marcon F, Mayo B, Pechová A, Petkova M, Ramos F, Sanz Y, Villa RE, Woutersen R, Brantom P, Herman L, Louro H, Anguita M, Brozzi R, Galobart J, Innocenti ML, Ortuño J, Pettenati E, Pizzo F, Revez J.","EFSA J. 2023 Feb 28;21(2):e07873. doi: 10.2903/j.efsa.2023.7873. eCollection 2023 Feb.","EFSA Panel on Additives and Products or Substances used in Animal Feed (FEEDAP)","EFSA J","2023","2023/03/03","PMC9972018","","10.2903/j.efsa.2023.7873"
"35257374","Reconstruction and analysis of genome-scale metabolic model for thermophilic fungus Myceliophthora thermophila","Liu D, Xu Z, Li J, Liu Q, Yuan Q, Guo Y, Ma H, Tian C.","Biotechnol Bioeng. 2022 Jul;119(7):1926-1937. doi: 10.1002/bit.28080. Epub 2022 Mar 24.","Liu D","Biotechnol Bioeng","2022","2022/03/08","","","10.1002/bit.28080"
"35450635","Extending the diversity of Myceliophthora thermophila LPMOs: Two different xyloglucan cleavage profiles","Sun P, de Munnik M, van Berkel WJH, Kabel MA.","Carbohydr Polym. 2022 Jul 15;288:119373. doi: 10.1016/j.carbpol.2022.119373. Epub 2022 Mar 18.","Sun P","Carbohydr Polym","2022","2022/04/22","","","10.1016/j.carbpol.2022.119373"
"31078793","Direct production of commodity chemicals from lignocellulose using Myceliophthora thermophila","Li J, Lin L, Sun T, Xu J, Ji J, Liu Q, Tian C.","Metab Eng. 2020 Sep;61:416-426. doi: 10.1016/j.ymben.2019.05.007. Epub 2019 May 9.","Li J","Metab Eng","2020","2019/05/13","","","10.1016/j.ymben.2019.05.007"
"31641526","Practical guidance for the implementation of the CRISPR genome editing tool in filamentous fungi","Kwon MJ, Schütze T, Spohner S, Haefner S, Meyer V.","Fungal Biol Biotechnol. 2019 Oct 17;6:15. doi: 10.1186/s40694-019-0079-4. eCollection 2019.","Kwon MJ","Fungal Biol Biotechnol","2019","2019/10/24","PMC6796461","","10.1186/s40694-019-0079-4"
"32640074","Growth kinetics of Myceliophthora thermophila M.7·7 in solid-state cultivation","Dos Santos Gomes AC, Casciatori FP, Gomes E, da Costa Carreira Nunes C, Moretti MMS, Thoméo JC.","J Appl Microbiol. 2021 Jan;130(1):90-99. doi: 10.1111/jam.14774. Epub 2020 Jul 29.","Dos Santos Gomes AC","J Appl Microbiol","2021","2020/07/09","","","10.1111/jam.14774"
"34489024","Kinetic and thermodynamic study of laccase cross-linked onto glyoxyl Immobead 150P carrier: Characterization and application for beechwood biografting","Othman AM, Sanromán MÁ, Moldes D.","Enzyme Microb Technol. 2021 Oct;150:109865. doi: 10.1016/j.enzmictec.2021.109865. Epub 2021 Jul 1.","Othman AM","Enzyme Microb Technol","2021","2021/09/07","","","10.1016/j.enzmictec.2021.109865"
"35017571","Berberine bridge enzyme-like oxidase-catalysed double bond isomerization acts as the pathway switch in cytochalasin synthesis","Zhang JM, Liu X, Wei Q, Ma C, Li D, Zou Y.","Nat Commun. 2022 Jan 11;13(1):225. doi: 10.1038/s41467-021-27931-z.","Zhang JM","Nat Commun","2022","2022/01/12","PMC8752850","","10.1038/s41467-021-27931-z"
"31754437","Dissecting cellobiose metabolic pathway and its application in biorefinery through consolidated bioprocessing in Myceliophthora thermophila","Li J, Gu S, Zhao Z, Chen B, Liu Q, Sun T, Sun W, Tian C.","Fungal Biol Biotechnol. 2019 Nov 13;6:21. doi: 10.1186/s40694-019-0083-8. eCollection 2019.","Li J","Fungal Biol Biotechnol","2019","2019/11/23","PMC6852783","","10.1186/s40694-019-0083-8"
"37164048","Production of recombinant lytic polysaccharide monooxygenases and evaluation effect of its addition into Aspergillus fumigatus var. niveus cocktail for sugarcane bagasse saccharification","Gonçalves AL, Cunha PM, da Silva Lima A, Dos Santos JC, Segato F.","Biochim Biophys Acta Proteins Proteom. 2023 May 8;1871(4):140919. doi: 10.1016/j.bbapap.2023.140919. Online ahead of print.","Gonçalves AL","Biochim Biophys Acta Proteins Proteom","2023","2023/05/10","","","10.1016/j.bbapap.2023.140919"
"33413029","Structural aspects of β-glucosidase of Myceliophthora thermophila (MtBgl3c) by homology modelling and molecular docking","Dadwal A, Singh V, Sharma S, Satyanarayana T.","J Biomol Struct Dyn. 2022 Jul;40(11):5211-5228. doi: 10.1080/07391102.2020.1869095. Epub 2021 Jan 8.","Dadwal A","J Biomol Struct Dyn","2022","2021/01/08","","","10.1080/07391102.2020.1869095"
"33765291","Biochemical characterization and enhanced production of endoxylanase from thermophilic mould Myceliophthora thermophila","Dahiya S, Kumar A, Malik V, Kumar V, Singh B.","Bioprocess Biosyst Eng. 2021 Jul;44(7):1539-1555. doi: 10.1007/s00449-021-02539-1. Epub 2021 Mar 25.","Dahiya S","Bioprocess Biosyst Eng","2021","2021/03/25","","","10.1007/s00449-021-02539-1"
"33807631","Prospection of Fungal Lignocellulolytic Enzymes Produced from Jatoba (Hymenaea courbaril) and Tamarind (Tamarindus indica) Seeds: Scaling for Bioreactor and Saccharification Profile of Sugarcane Bagasse","Contato AG, de Oliveira TB, Aranha GM, de Freitas EN, Vici AC, Nogueira KMV, de Lucas RC, Scarcella ASA, Buckeridge MS, Silva RN, Polizeli MLTM.","Microorganisms. 2021 Mar 5;9(3):533. doi: 10.3390/microorganisms9030533.","Contato AG","Microorganisms","2021","2021/04/03","PMC8000596","","10.3390/microorganisms9030533"
"32065289","Enhanced production of bacterial xylanase and its utility in saccharification of sugarcane bagasse","Alokika, Singh B.","Bioprocess Biosyst Eng. 2020 Jun;43(6):1081-1091. doi: 10.1007/s00449-020-02306-8. Epub 2020 Feb 17.","Alokika","Bioprocess Biosyst Eng","2020","2020/02/18","","","10.1007/s00449-020-02306-8"
"33222033","Improving enzyme production by solid-state cultivation in packed-bed bioreactors by changing bed porosity and airflow distribution","Perez CL, Casciatori FP, Thoméo JC.","Bioprocess Biosyst Eng. 2021 Mar;44(3):537-548. doi: 10.1007/s00449-020-02466-7. Epub 2020 Nov 22.","Perez CL","Bioprocess Biosyst Eng","2021","2020/11/22","","","10.1007/s00449-020-02466-7"
"32586235","Creation of Chitinase Producer and Disruption of Micromycete Cell Wall with the Obtained Enzyme Preparation","Sinitsyna OA, Rubtsova EA, Sinelnikov IG, Osipov DO, Rozhkova AM, Matys VY, Bubnova TV, Nemashkalov VA, Sereda AS, Tcsherbakova LA, Sinitsyn AP.","Biochemistry (Mosc). 2020 Jun;85(6):717-724. doi: 10.1134/S0006297920060097.","Sinitsyna OA","Biochemistry (Mosc)","2020","2020/06/27","","","10.1134/S0006297920060097"
"32871114","Function-related asymmetry of the specific cardiolipin binding sites on the mitochondrial ADP/ATP carrier","Mao X, Yao S, Yi Q, Xu ZM, Cang X.","Biochim Biophys Acta Biomembr. 2021 Jan 1;1863(1):183466. doi: 10.1016/j.bbamem.2020.183466. Epub 2020 Aug 29.","Mao X","Biochim Biophys Acta Biomembr","2021","2020/09/02","","","10.1016/j.bbamem.2020.183466"
"34489043","Structural studies of Myceliophthora Thermophila Laccase in the presence of deep eutectic solvents","Chan JC, Zhang B, Martinez M, Kuruba B, Brozik J, Kang C, Zhang X.","Enzyme Microb Technol. 2021 Oct;150:109890. doi: 10.1016/j.enzmictec.2021.109890. Epub 2021 Aug 8.","Chan JC","Enzyme Microb Technol","2021","2021/09/07","","","10.1016/j.enzmictec.2021.109890"
"33352160","Polymer functionalization through an enzymatic process: Intermediate products characterization and their grafting onto gum Arabic","Vuillemin ME, Muniglia L, Linder M, Bouguet-Bonnet S, Poinsignon S, Dos Santos Morais R, Simard B, Paris C, Michaux F, Jasniewski J.","Int J Biol Macromol. 2021 Feb 1;169:480-491. doi: 10.1016/j.ijbiomac.2020.12.113. Epub 2020 Dec 19.","Vuillemin ME","Int J Biol Macromol","2021","2020/12/22","","","10.1016/j.ijbiomac.2020.12.113"
"33905799","Isolation and modification of nano-scale cellulose from organosolv-treated birch through the synergistic activity of LPMO and endoglucanases","Muraleedharan MN, Karnaouri A, Piatkova M, Ruiz-Caldas MX, Matsakas L, Liu B, Rova U, Christakopoulos P, Mathew AP.","Int J Biol Macromol. 2021 Jul 31;183:101-109. doi: 10.1016/j.ijbiomac.2021.04.136. Epub 2021 Apr 24.","Muraleedharan MN","Int J Biol Macromol","2021","2021/04/27","","","10.1016/j.ijbiomac.2021.04.136"
"33741634","Considerations Regarding Activity Determinants of Fungal Polyphenol Oxidases Based on Mutational and Structural Studies","Nikolaivits E, Valmas A, Dedes G, Topakas E, Dimarogona M.","Appl Environ Microbiol. 2021 May 11;87(11):e00396-21. doi: 10.1128/AEM.00396-21. Print 2021 May 11.","Nikolaivits E","Appl Environ Microbiol","2021","2021/03/20","PMC8208164","","10.1128/AEM.00396-21"
"35608343","Development of an Efficient C-to-T Base-Editing System and Its Application to Cellulase Transcription Factor Precise Engineering in Thermophilic Fungus Myceliophthora thermophila","Zhang C, Li N, Rao L, Li J, Liu Q, Tian C.","Microbiol Spectr. 2022 Jun 29;10(3):e0232121. doi: 10.1128/spectrum.02321-21. Epub 2022 May 24.","Zhang C","Microbiol Spectr","2022","2022/05/24","PMC9241923","","10.1128/spectrum.02321-21"
"36165620","MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora thermophila","Li N, Liu Y, Liu D, Liu D, Zhang C, Lin L, Zhu Z, Li H, Dai Y, Wang X, Liu Q, Tian C.","Appl Environ Microbiol. 2022 Oct 11;88(19):e0126322. doi: 10.1128/aem.01263-22. Epub 2022 Sep 27.","Li N","Appl Environ Microbiol","2022","2022/09/27","PMC9552611","","10.1128/aem.01263-22"
"36735022","Isolation of the Anti-Inflammatory Agent Myceliostatin from a Methionine-Enriched Culture of Myceliophthora thermophila ATCC 42464","Wu Y, Shen J, Wang L, Lin Y, Kojima S, Okada S, Umezawa K.","J Nat Prod. 2023 Feb 24;86(2):239-245. doi: 10.1021/acs.jnatprod.2c00811. Epub 2023 Feb 3.","Wu Y","J Nat Prod","2023","2023/02/03","","","10.1021/acs.jnatprod.2c00811"
"32253539","Construction of a new thermophilic fungus Myceliophthora thermophila platform for enzyme production using a versatile 2A peptide strategy combined with efficient CRISPR-Cas9 system","Li F, Liu Q, Li X, Zhang C, Li J, Sun W, Liu D, Xiao D, Tian C.","Biotechnol Lett. 2020 Jul;42(7):1181-1191. doi: 10.1007/s10529-020-02882-5. Epub 2020 Apr 6.","Li F","Biotechnol Lett","2020","2020/04/08","","","10.1007/s10529-020-02882-5"
"32866595","Molecular dynamics simulations of two GH74 endo-processive xyloglucanases and the mutated variants to understand better the mechanism of the enzyme action","Gusakov AV, Uporov IV, Sinitsyna OA.","Biochim Biophys Acta Gen Subj. 2020 Dec;1864(12):129721. doi: 10.1016/j.bbagen.2020.129721. Epub 2020 Aug 29.","Gusakov AV","Biochim Biophys Acta Gen Subj","2020","2020/09/01","","","10.1016/j.bbagen.2020.129721"
"33521846","Strategic aromatic residues in the catalytic cleft of the xyloglucanase MtXgh74 modifying thermostability, mode of enzyme action, and viscosity reduction ability","Berezina OV, Rykov SV, Polyakova AK, Bozdaganyan ME, Sidochenko AV, Baudrexl M, Schwarz WH, Zverlov VV, Yarotsky SV.","Appl Microbiol Biotechnol. 2021 Feb;105(4):1461-1476. doi: 10.1007/s00253-021-11106-3. Epub 2021 Feb 1.","Berezina OV","Appl Microbiol Biotechnol","2021","2021/02/01","","","10.1007/s00253-021-11106-3"
